
   243-Åland_Islands @@>Åland Islands @$@                                                   658) @^@
   248-Abkhazia @@>Abkhazia @$@                                                   901) @^@
   456-Abu_Dhabi @@>Abu Dhabi @$@                                                   98) @^@
   454-Aden @@>Aden @$@                                                   93) @^@
   752-Aegean_Islands @@>Aegean Islands @$@                                                   245) @^@
   1-Afghanistan @@>Afghanistan @$@                                                   2,642) @^@
   485-Aitutaki @@>Aitutaki @$@                                                   1,502) @^@
   289-Ajman @@>Ajman @$@                                                   4,111) @^@
   589-Alaouites @@>Alaouites @$@                                                   81) @^@
   2-Albania @@>Albania @$@                                                   4,587) @^@
   261-Alderney @@>Alderney @$@                                                   951) @^@
   585-Alexandretta @@>Alexandretta @$@                                                   31) @^@
   3-Algeria @@>Algeria @$@                                                   2,295) @^@
   811-Allenstein @@>Allenstein @$@                                                   34) @^@
   5-Andorra @@>Andorra @^@
   6-Angola @@>Angola @$@                                                   2,937) @^@
   633-Angra @@>Angra @$@                                                   48) @^@
   7-Anguilla @@>Anguilla @$@                                                   1,488) @^@
   595-Anjouan @@>Anjouan @$@                                                   41) @^@
   9-Antigua_and_Barbuda @@>Antigua and Barbuda @$@                                                   6,918) @^@
   10-Argentina @@>Argentina @$@                                                   5,805) @^@
   11-Armenia @@>Armenia @$@                                                   1,773) @^@
   751-Artsakh_Nagorno-Karabakh @@>Artsakh (Nagorno-Karabakh) @$@                                                   313) @^@
   12-Aruba @@>Aruba @$@                                                   1,247) @^@
   253-Ascension_Island @@>Ascension Island @$@                                                   1,535) @^@
   13-Australia @@>Australia @$@                                                   8,922) @^@
   477-Australian_Antarctic_Territory_AAT @@>Australian Antarctic Territory (AAT) @$@                                                   374) @^@
   14-Austria @@>Austria @$@                                                   4,705) @^@
   15-Azerbaijan @@>Azerbaijan @$@                                                   1,924) @^@
   309-Azores @@>Azores @$@                                                   902) @^@
   16-Bahamas @@>Bahamas @$@                                                   1,874) @^@
   480-Bahawalpur @@>Bahawalpur @$@                                                   84) @^@
   17-Bahrain @@>Bahrain @$@                                                   1,200) @^@
   18-Bangladesh @@>Bangladesh @$@                                                   1,662) @^@
   19-Barbados @@>Barbados @$@                                                   1,659) @^@
   541-Basutoland @@>Basutoland @$@                                                   129) @^@
   847-Batum @@>Batum @$@                                                   61) @^@
   437-Bechuanaland_Protectorate @@>Bechuanaland Protectorate @$@                                                   230) @^@
   20-Belarus @@>Belarus @$@                                                   2,431) @^@
   319-Belgian_Congo @@>Belgian Congo @$@                                                   610) @^@
   21-Belgium @@>Belgium @$@                                                   8,857) @^@
   22-Belize @@>Belize @$@                                                   1,203) @^@
   23-Benin @@>Benin @$@                                                   1,881) @^@
   24-Bermuda @@>Bermuda @$@                                                   1,353) @^@
   25-Bhutan @@>Bhutan @$@                                                   3,646) @^@
   339-Biafra @@>Biafra @$@                                                   62) @^@
   271-Bohemia_and_Moravia @@>Bohemia and Moravia @$@                                                   250) @^@
   26-Bolivia @@>Bolivia @$@                                                   2,358) @^@
   679-Bonaire @@>Bonaire @$@                                                   150) @^@
   27-Bosnia_and_Herzegovina @@>Bosnia and Herzegovina @$@                                                   1,005) @^@
   28-Botswana @@>Botswana @$@                                                   1,259) @^@
   30-Brazil @@>Brazil @$@                                                   5,949) @^@
   315-British_Antarctic_Territory_BAT @@>British Antarctic Territory (BAT) @$@                                                   907) @^@
   444-British_Central_Africa @@>British Central Africa @$@                                                   78) @^@
   350-British_East_Africa_Kenya_Uganda_and_Tanganyika @@>British East Africa (Kenya, Uganda and Tanganyika) @$@                                                   394) @^@
   1056-British_East_Africa_Protectorate @@>British East Africa Protectorate @$@                                                   114) @^@
   349-British_Guiana @@>British Guiana @$@                                                   332) @^@
   359-British_Honduras @@>British Honduras @$@                                                   336) @^@
   31-British_Indian_Ocean_Territory @@>British Indian Ocean Territory @$@                                                   756) @^@
