"Stamps on Colnect","List exported on 2022-05-09 17:54:24 GMT+0"
"Launched by collector: ",EddieM
"Collector profile on Colnect at: ",https://colnect.com/collectors/collector/EddieM
"This list contains 2 Stamps"
"For the updated list on Colnect visit: ",https://colnect.com/en/stamps/list/country/225-United_States_of_America/year/2015/emission/4-ATM_Labels


Name,Country,Series,"Catalog Codes","Issued on","Expiry date",Width,Height,Watermark,Format,Emission,Perforation,Printing,Paper,Gum,Currency,FaceValue,"Ord Mi","Ord Sn","Ord Yt","Ord Sg","Print run",Variant,Score,Accuracy,Colors,ZstStampDesigner,ZstStampPrinter,Themes,Description,Link
"Charlie Brown Christmas ATM stamp","United States of America","Computer Vended Postage Stamps","Mi:US ATM15, Sn:US CVP98",2015-10-29,,47,27,,Stamp,"ATM Labels",Imperforate,,,,"º - No Face Value",FOREVER,55278,46978,,,,,64.67,Medium,Multicolor,,,"Christmas,Cartoons,Comics,Snow,Mailboxes","FOREVER, sold for 49c on day of issue",https://colnect.com/stamps/stamp/647723
mPOS,"United States of America","Computer Vended Postage Stamps","Sn:US CVP99",2015,,,,,Stamp,"ATM Labels","Die Cut","Thermographic Relief",,,"$ - United States dollar",5.95,,46977,,,,,92.82,Low,Black,,,"Numbers,Letters (Alphabet)","Round corners",https://colnect.com/stamps/stamp/722006
"Medal of Honor 2015","United States of America","Medal of Honor","Mi:US 5015III-5172BA-5016III, Sn:US 4988a, Yt:US 4810-4812",2015-05-25,,75,40,"No Watermark",Se-tenant,Commemorative,"Serpentine Die Cut<i> 11</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",3*FOREVER,56494,48597,39560,,,568142,76.77,Medium,Multicolor,,,"Medals and Marks of Honour,Army","Strip of 3",https://colnect.com/stamps/stamp/568142
"Medal of Honor: Navy","United States of America","Medal of Honor","Mi:US 5015IIIBA, Sn:US 4822b, Yt:US 4811, WAD:US039.15",2015-05-25,,25,40,"No Watermark",Stamp,Commemorative,"Serpentine Die Cut<i> 11</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56493,48897,39559,,,461317,67.72,Medium,Multicolor,,,"Medals and Marks of Honour,Army","Dated 2015  Initial value 49c",https://colnect.com/stamps/stamp/552158
"Medal of Honor: Army","United States of America","Medal of Honor","Mi:US 5016IIIBA, Sn:US 4823b, Yt:US 4810, WAD:US038.15",2015-05-25,,25,40,"No Watermark",Stamp,Commemorative,"Serpentine Die Cut<i> 11</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56489,48894,39561,,,461318,64.21,Medium,Multicolor,,,"Medals and Marks of Honour,Army","Dated 2015  Initial value 49c",https://colnect.com/stamps/stamp/552157
"Battle of New Orleans","United States of America","The War of 1812","Mi:US 5141BA, Sn:US 4952, Yt:US 4773, Sg:US 5567, WAD:US001.15",2015-01-08,,41,32,"No Watermark",Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56238,48670,39599,39834,,525654,44.17,High,Multicolor,,,"Weapons,Horses,Battle,Army","nominal value 49c",https://colnect.com/stamps/stamp/525654
"Battle of New Orleans","United States of America","The War of 1812","Mi:US 5141BB, Sn:US 4952a",2015-01-08,,,,"No Watermark",Stamp,Commemorative,Imperforate,"Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56237,48669,,,,525654,92.69,Low,Multicolor,,,"Weapons,Horses,Battle,Army",,https://colnect.com/stamps/stamp/715435
"Lace hearts","United States of America",Hearts,"Mi:US 5144BA, Sn:US 4955, Yt:US 4775, Sg:US 5569, WAD:US004.15",2015-01-22,,23.5,30,"No Watermark",Stamp,Commemorative,"Serpentine Die Cut<i> 11</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56232,48664,39597,39832,,,36.8,High,Red,,,"Love,Greetings,Hearts","nominal value 49 c",https://colnect.com/stamps/stamp/525650
"Lace hearts","United States of America",Hearts,"Mi:US 5144BA-5145BA, Sn:US 4956a, Sg:US 5569-5570",2015-01-22,,,,"No Watermark",Se-tenant,Commemorative,"Serpentine Die Cut<i> 11</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",2*FOREVER,56231,48662,,39831,,715436,71.31,Low,"Red,Grey",,,"Love,Greetings,Hearts","Se-tenant pair",https://colnect.com/stamps/stamp/715436
"Lace hearts","United States of America",Hearts,"Mi:US 5144BB-5145BB, Sn:US 4956b",2015-01-22,,,,"No Watermark",Se-tenant,Commemorative,Imperforate,"Offset lithography",,Self-Adhesive,"º - No Face Value",2*FOREVER,56230,48661,,,,715436,87,Low,"Red,Grey",,,"Love,Greetings,Hearts","Imperforate se-tenant pair",https://colnect.com/stamps/stamp/715437
"Lace hearts","United States of America",Hearts,"Mi:US 5145BA, Sn:US 4956, Yt:US 4776, Sg:US 5570, WAD:US003.15",2015-01-22,,23.5,30,"No Watermark",Stamp,Commemorative,"Serpentine Die Cut<i> 11</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56229,48663,39596,39830,,,40.03,High,"Red,Grey",,,"Love,Greetings,Hearts","nominal value 49c",https://colnect.com/stamps/stamp/525651
