"Stamps on Colnect","List exported on 2022-05-09 17:53:50 GMT+0"
"Launched by collector: ",EddieM
"Collector profile on Colnect at: ",https://colnect.com/collectors/collector/EddieM
"This list contains 69 Stamps"
"For the updated list on Colnect visit: ",https://colnect.com/en/stamps/list/country/225-United_States_of_America/year/2015/emission/1-Definitive

Name,Country,Series,"Catalog Codes","Issued on","Expiry date",Width,Height,Watermark,Format,Emission,Perforation,Printing,Paper,Gum,Currency,FaceValue,"Ord Mi","Ord Sn","Ord Yt","Ord Sg","Print run",Variant,Score,Accuracy,Colors,ZstStampDesigner,ZstStampPrinter,Themes,Description,Link
"Bobcat (Lynx rufus)","United States of America","Fauna (2012-2015)","Mi:US 4853II, Sn:US 4672a, Yt:US 4778, Sg:US 5576, WAD:US010.15",2015-02-20,,22,26,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 10</i>","Offset lithography",,Self-Adhesive,"¢ - United States cent",1,56801,49212,39594,39824,,383232,42.8,High,Multicolor,,,"Mammals,Lynx,Animals (Fauna),Wild Cats","Serpentine Die Cut 10 vertical  Dated 2015",https://colnect.com/stamps/stamp/525655
"Fortune’s Holly Fern (Cyrtomium fortunei)","United States of America",Ferns,"Mi:US 5059II, Sn:US 4977, Yt:US 4798, WAD:US027.15",2015-03-27,,22,24.5,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 11 </i>Vertical","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56407,48623,39573,,,483728,85.59,Medium,Multicolor,,,"Plants (Flora),Ferns","Dated 2014  Microprinted USPS near the end of the upper left fern branch  Initial value 49c",https://colnect.com/stamps/stamp/552130
Ferns,"United States of America",Ferns,"Mi:US 5059II-5063II, Sn:US 4977b",2015-03-27,,,,"No Watermark",Se-tenant,Definitive,"Serpentine Die Cut<i> 11 </i>Vertical","Offset lithography",,Self-Adhesive,"º - No Face Value",5*FOREVER,56406,48621,,,,715195,88.42,Low,Multicolor,,,"Plants (Flora),Ferns","Strip of 5 Dated 2014 Microprinted USPS",https://colnect.com/stamps/stamp/715542
"Fortune’s Holly Fern (Cyrtomium fortunei)","United States of America",Ferns,"Mi:US 5059III, Sn:US 4977a, Yt:US 4803, Sg:US 5589",2015-03-27,,22,24.5,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 11 </i>Vertical","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56405,48622,39568,39808,,483728,85.87,Medium,Multicolor,,,"Plants (Flora),Ferns","Dated 2015  Microprinted USPS near the end of the upper left fern branch  Initial value 49c",https://colnect.com/stamps/stamp/552131
Ferns,"United States of America",Ferns,"Mi:US 5059III-5063III, Sn:US 4977c, Sg:US 5589-5593",2015-03-27,,,,"No Watermark",Se-tenant,Definitive,"Serpentine Die Cut<i> 11 </i>Vertical","Offset lithography",,Self-Adhesive,"º - No Face Value",5*FOREVER,56404,48620,,39807,,715195,88.26,Low,Multicolor,,,"Plants (Flora),Ferns","Strip of 5 Dated 2015 Microprinted USPS",https://colnect.com/stamps/stamp/715543
"Soft Shield Fern (Polystichum setiferum)","United States of America",Ferns,"Mi:US 5060II, Sn:US 4973, Yt:US 4799, WAD:US023.15",2015-03-27,,22,24.5,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 11 </i>Vertical","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56402,48631,39572,,,483729,85.24,Medium,Multicolor,,,"Plants (Flora),Ferns","Dated 2014  Microprinted USPS near the base of the fern's stem  Initial value 49c",https://colnect.com/stamps/stamp/552132
"Soft Shield Fern (Polystichum setiferum)","United States of America",Ferns,"Mi:US 5060III, Sn:US 4973a, Yt:US 4804, Sg:US 5590",2015-03-27,,,,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 11 </i>Vertical","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56401,48630,39567,39806,,483729,87.44,Medium,Multicolor,,,"Plants (Flora),Ferns","Dated 2015  Microprinted USPS near the base of the fern's stem  Initial value 49c",https://colnect.com/stamps/stamp/552133
"Autumn Fern (Dryopteris erythrosora)","United States of America",Ferns,"Mi:US 5061II, Sn:US 4974, Yt:US 4800, WAD:US024.15",2015-03-27,,22,24.5,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 11 </i>Vertical","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56399,48629,39571,,,483730,83.47,Medium,Multicolor,,,"Plants (Flora),Ferns","Dated 2014  Microprinted USPS near the base of the fern's stem  Initial value 49c",https://colnect.com/stamps/stamp/552134
"Autumn Fern (Dryopteris erythrosora)","United States of America",Ferns,"Mi:US 5061III, Sn:US 4974a, Yt:US 4805, Sg:US 5591",2015-03-27,,,,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 11 </i>Vertical","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56398,48628,39566,39805,,483730,87.15,Medium,Multicolor,,,"Plants (Flora),Ferns","Dated 2015  Microprinted USPS near the base of the fern's stem  Initial value 49c",https://colnect.com/stamps/stamp/552135
"Goldie's Wood Fern (Dryopteris goldiana)","United States of America",Ferns,"Mi:US 5062II, Sn:US 4975, Yt:US 4801, WAD:US025.15",2015-03-27,,22,24.5,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 11 </i>Vertical","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56396,48627,39570,,,483731,84.54,Medium,Multicolor,,,"Plants (Flora),Ferns","Dated 2014  Microprinted USPS near the base of the fern's stem  Initial value 49c",https://colnect.com/stamps/stamp/552136
"Goldie's Wood Fern (Dryopteris goldiana)","United States of America",Ferns,"Mi:US 5062III, Sn:US 4975a, Yt:US 4806, Sg:US 5592",2015-03-27,,22,24.5,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 11 </i>Vertical","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56395,48626,39565,39804,,483731,87.5,Medium,Multicolor,,,"Plants (Flora),Ferns","Dated 2015  Microprinted USPS near the base of the fern's stem  Initial value 49c",https://colnect.com/stamps/stamp/552137
"Painted Fern (Athyrium niponicum)","United States of America",Ferns,"Mi:US 5063II, Sn:US 4976, Yt:US 4802, WAD:US026.15",2015-03-27,,22,24.5,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 11 </i>Vertical","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56393,48625,39569,,,483732,87.18,Medium,Multicolor,,,"Plants (Flora),Ferns","Dated 2014  Microprinted USPS near the base of the fern's stem  Initial value 49c",https://colnect.com/stamps/stamp/552138
"Painted Fern (Athyrium niponicum)","United States of America",Ferns,"Mi:US 5063III, Sn:US 4976a, Yt:US 4807, Sg:US 5593",2015-03-27,,22,24.5,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 11 </i>Vertical","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56392,48624,39564,39803,,483732,87.35,Medium,Multicolor,,,"Plants (Flora),Ferns","Dated 2015  Microprinted USPS near the base of the fern's stem  Initial value 49c",https://colnect.com/stamps/stamp/552139
"Patriotic waves","United States of America","Patriotic waves","Mi:US 5142BA, Sn:US 4953, Yt:US 4774, Sg:US 5568, WAD:US002.15",2015-01-12,,37,25,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"$ - United States dollar",1,56236,48668,39598,39833,,525648,17.52,"Very High",Multicolor,,,"Numbers,Letters (Alphabet)",,https://colnect.com/stamps/stamp/525648
"Patriotic waves","United States of America","Patriotic waves","Mi:US 5142BB, Sn:US 4953a",2015-01-12,,,,"No Watermark",Stamp,Definitive,Imperforate,"Offset lithography",,Self-Adhesive,"$ - United States dollar",1,56235,48667,,,,525648,74.03,Medium,Multicolor,,,"Numbers,Letters (Alphabet)",,https://colnect.com/stamps/stamp/715457
"Patriotic waves","United States of America","Patriotic waves","Mi:US 5143BA, Sn:US 4954, Yt:US 4777, Sg:US 5571, WAD:US005.15",2015-01-30,,40,25,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"$ - United States dollar",2,56234,48666,39595,39829,,525649,50.66,High,Multicolor,,,"Geometric Shapes",,https://colnect.com/stamps/stamp/525649
"Patriotic waves","United States of America","Patriotic waves","Mi:US 5143BB, Sn:US 4954a",2015-01-30,,,,"No Watermark",Stamp,Definitive,Imperforate,"Offset lithography",,Self-Adhesive,"$ - United States dollar",2,56233,48665,,,,525649,83.36,Medium,Multicolor,,,"Numbers,Letters (Alphabet)",,https://colnect.com/stamps/stamp/715458
"Stars & Stripes (left) Presort","United States of America","Stars & Stripes Presorted Rate (2015)","Mi:US 5150, Sn:US 4961, Yt:US PR109, Sg:US 5577, WAD:US011.15",2015-02-27,,23,25,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value","Presorted Std",56220,48652,37781,39823,,,29.28,High,Multicolor,,,Flags,"Serpentine Die Cut 10¾ vertical  ""USA"" in red",https://colnect.com/stamps/stamp/552126
"Stars & Stripes Presort","United States of America","Stars & Stripes Presorted Rate (2015)","Mi:US 5150-5152, Sn:US 4963a, Sg:US 5577-5579",2015-02-27,,,,"No Watermark",Se-tenant,Definitive,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value","3*Presorted Std",56219,48648,,39822,,,73.03,Low,Multicolor,,,Flags,"Coil strip of 3",https://colnect.com/stamps/stamp/715441
