"Stamps on Colnect","List exported on 2022-08-04 00:04:05 GMT+0"
"Launched by collector: ",EddieM
"Collector profile on Colnect at: ",https://colnect.com/en/collectors/collector/EddieM
"This list contains 44 Stamps"
"For the updated list on Colnect visit: ",https://colnect.com/en/stamps/list/country/95-Vatican_City/year/2020

Name,Country,Series,"Catalog Codes","Issued on","Expiry date",Width,Height,Watermark,Format,Emission,Perforation,Printing,Paper,Gum,Currency,FaceValue,"Ord Mi","Ord Sn","Ord Yt","Ord Sg","Print run",Variant,Score,Accuracy,Colors,ZstStampDesigner,ZstStampPrinter,Themes,Description,Link,List,Quantity,Condition,"Public Note","Private Note"
"Pope Francis with Lamb","Vatican City","The 8th Year of the Pontificate of Pope Francis","Mi:VA 1985, Sn:VA 1735, Yt:VA 1838, Sg:VA 1899, WAD:VA003.20, Un:VA 1853",2020-02-14,,30,40,,Stamp,Commemorative,"comb<i> 13¼ x 13</i>","Offset lithography",,,"€ - Euro",1.10,46366,33698,30594,32571,120000,,75.41,Medium,Multicolor,,"Cartor Security Printing","Famous People,Sheep,Religion,Popes,Animals (Fauna),Clergy",,https://colnect.com/stamps/stamp/942490,,,,,
"Pope Francis with Dove","Vatican City","The 8th Year of the Pontificate of Pope Francis","Mi:VA 1986, Sn:VA 1736, Yt:VA 1839, Sg:VA 1900, WAD:VA004.20, Un:VA 1854",2020-02-14,,30,40,,Stamp,Commemorative,"comb<i> 13¼ x 13</i>","Offset lithography",,,"€ - Euro",1.15,46365,33697,30593,32570,120000,,71.06,Medium,Multicolor,,"Cartor Security Printing","Famous People,Religion,Peace Doves,Popes,Animals (Fauna),Clergy",,https://colnect.com/stamps/stamp/942491,,,,,
"Pope Francis with Dog","Vatican City","The 8th Year of the Pontificate of Pope Francis","Mi:VA 1987, Sn:VA 1737, Yt:VA 1840, Sg:VA 1901, WAD:VA005.20, Un:VA 1855",2020-02-14,,30,40,,Stamp,Commemorative,"comb<i> 13¼ x 13</i>","Offset lithography",,,"€ - Euro",2.40,46364,33696,30592,32569,120000,,78.09,Medium,Multicolor,,"Cartor Security Printing","Famous People,Dogs,Religion,Popes,Animals (Fauna),Clergy",,https://colnect.com/stamps/stamp/942492,,,,,
"Pope Francis with Black Panther Cub","Vatican City","The 8th Year of the Pontificate of Pope Francis","Mi:VA 1988, Sn:VA 1738, Yt:VA 1841, Sg:VA 1902, WAD:VA006.20, Un:VA 1856",2020-02-14,,30,40,,Stamp,Commemorative,"comb<i> 13¼ x 13</i>","Offset lithography",,,"€ - Euro",3,46363,33695,30591,32568,120000,,76.18,Medium,Multicolor,,"Cartor Security Printing","Famous People,Religion,Popes,Animals (Fauna),Clergy,Wild Cats",,https://colnect.com/stamps/stamp/942493,,,,,
"1750th Birthday Anniversary of St. Nicholas of Myra","Vatican City",,"Mi:VA 1989, Sn:VA 1734, Yt:VA 1843, Sg:VA 1903, WAD:VA007.20, Un:VA 1858",2020-02-14,,34,56,,Stamp,Commemorative,"comb<i> 12¾</i>","Offset lithography",,,"€ - Euro",1.15,46362,33699,30589,32567,50000,,77.05,Medium,Multicolor,,"Cartor Security Printing","Saints,Anniversaries and Jubilees",,https://colnect.com/stamps/stamp/942494,,,,,
"50th Anniversary of Earth Day","Vatican City","50th Anniversary of Earth Day","Mi:VA 1990, Sn:VA 1739a, Yt:VA 1845, WAD:VA008.20, Un:VA 1851",2020-02-14,,41,30.5,,Stamp,Commemorative,"frame<i> 13½ x 13¾</i>","Offset lithography",,,"€ - Euro",0.30,46361,33693,30587,,40000,,86.99,Low,Multicolor,,"Printex Ltd.","Environment Protection,Anniversaries and Jubilees","stamp from souvenir sheet",https://colnect.com/stamps/stamp/942499,,,,,
"50th Anniversary of Earth Day","Vatican City","50th Anniversary of Earth Day","Mi:VA 1991, Sn:VA 1739b, Yt:VA 1846, WAD:VA009.20, Un:VA 1852",2020-02-14,,41,30.5,,Stamp,Commemorative,"frame<i> 13¾ x 13½</i>","Offset lithography",,,"€ - Euro",1.10,46360,33692,30586,,40000,,87.28,Low,Multicolor,,"Printex Ltd.","Ships,Environment Protection,Sailing Ships,Anniversaries and Jubilees","stamp from souvenir sheet",https://colnect.com/stamps/stamp/942500,,,,,
"Ascension of Christ, Alessia Babrow","Vatican City","Easter 2020","Mi:VA 1992, Sn:VA 1733, Yt:VA 1842, Sg:VA 1904, WAD:VA001.20, Un:VA 1857",2020-02-14,,30,40,,Stamp,Commemorative,"<i>13¼ x 13</i>","Offset lithography",,,"€ - Euro",1.15,46359,33700,30590,32566,80000,,73.27,Medium,Multicolor,,"Cartor Security Printing",Easter,,https://colnect.com/stamps/stamp/942495,,,,,
"250th Anniversary of Death of Giambattista Tiepolo","Vatican City",,"Mi:VA 1993, Sn:VA 1732, Yt:VA 1844, Sg:VA 1898, WAD:VA002.20, Un:VA 1859",2020-02-14,,30,40,,Stamp,Commemorative,"comb<i> 13¾ x 14</i>","Offset lithography",,,"€ - Euro",1.10,46358,33701,30588,32572,160000,,80.44,Medium,Multicolor,,"Joh. Enschedé","Art,Frescos,Anniversaries and Jubilees","Issued in panes of four with decorative margin",https://colnect.com/stamps/stamp/942496,,,,,
"250th Anniversary of Death of Giambattista Tiepolo","Vatican City",,"Mi:VA 1993KB, Un:VA 1859MF",2020-02-14,,130,100,,"Mini Sheet",Commemorative,"comb<i> 13¾ x 14</i>","Offset lithography",,,"€ - Euro",4*1.10,46357,,,,40000,,80.21,Low,Multicolor,,"Joh. Enschedé","Art,Frescos,Anniversaries and Jubilees","Sacrifice of Isaac; Fresco from the Palazzo Patriarcale, Udine; by Giovanni Battista Tiepolo (1696–1770), Venetian painter",https://colnect.com/stamps/stamp/942497,,,,,
"100th Death Anniversary of St. Teresa of Jesus de los Andes","Vatican City",,"Mi:VA 1994, Sn:VA 1741, Yt:VA 1847, Sg:VA 1909, WAD:VA012.20",2020-06-23,,30.5,41,,Stamp,Commemorative,"comb<i> 13¾ x 13½</i>","Offset lithography",,,"€ - Euro",2.40,46356,33690,30585,32562,50000,,75.95,Low,Multicolor,,"Printex Ltd.","Saints,Women,Anniversaries and Jubilees","St. Teresa de los Andes, actually Juana de los Sagrados Corazones Fernández Solar (1900–1920), Carmelite",https://colnect.com/stamps/stamp/971210,,,,,
"Sixth Century Map of Colonia Iulia","Vatican City","Europa (C.E.P.T.) 2020 - Ancient Postal Routes","Mi:VA 1995, Sn:VA 1742, Yt:VA 1848, Sg:VA 1905, WAD:VA010.20, Un:VA 1861",2020-06-23,,40,30,,Stamp,Commemorative,"comb<i> 13 x 13¼</i>","Offset lithography",,,"€ - Euro",1.10,46355,33689,30584,32565,45000,,73.46,Medium,Multicolor,,"Cartor Security Printing","Maps,City Walls,Fortresses / Strongholds,C.E.P.T. / Europe",,https://colnect.com/stamps/stamp/971211,,,,,
"Sixth Century Map of Colonia Axernias","Vatican City","Europa (C.E.P.T.) 2020 - Ancient Postal Routes","Mi:VA 1996, Sn:VA 1743, Yt:VA 1849, Sg:VA 1906, WAD:VA011.20, Un:VA 1862",2020-06-23,,40,30,,Stamp,Commemorative,"comb<i> 13 x 13¼</i>","Offset lithography",,,"€ - Euro",1.15,46354,33688,30583,32564,45000,,73.08,Medium,Multicolor,,"Cartor Security Printing","Maps,City Walls,Fortresses / Strongholds,C.E.P.T. / Europe",,https://colnect.com/stamps/stamp/971212,,,,,
"International Year of Plant Health","Vatican City",,"Mi:VA 1997, Sn:VA 1740, Yt:VA 1850, Sg:VA 1908, WAD:VA013.20, Un:VA 1860",2020-06-23,,30.5,41,,Stamp,Commemorative,"comb<i> 13¾ x 13½</i>","Offset lithography",,,"€ - Euro",1.15,46353,33691,30582,32563,45000,,74.73,Low,Multicolor,,"Printex Ltd.","Trees,Famous People,Popes,Environment Protection,Men,International Years,Clergy","Pope Francis and Catholicos Karekin II watering tree",https://colnect.com/stamps/stamp/971213,,,,,
"Transfiguration (Detail), Raphael","Vatican City","500th Death Anniversary of Raphael (1483-1520)","Mi:VA 1998, Sn:VA 1744a, Yt:VA 1851, WAD:VA014.20, Un:VA 1863",2020-06-23,,40,30,,Stamp,Commemorative,"frame<i> 13 x 13¼</i>","Offset lithography",,,"€ - Euro",1.10,46352,33686,30581,,45000,,86.8,Low,Multicolor,,"Cartor Security Printing",Art,"stamp from souvenir sheet",https://colnect.com/stamps/stamp/971215,,,,,
"Self-portrait, Raphael","Vatican City","500th Death Anniversary of Raphael (1483-1520)","Mi:VA 1999, Sn:VA 1744b, Yt:VA 1852, WAD:VA015.20, Un:VA 1864",2020-06-23,,40,30,,Stamp,Commemorative,"frame<i> 13¼ x 13</i>","Offset lithography",,,"€ - Euro",1.15,46351,33685,30580,,45000,,86.8,Low,Multicolor,,"Cartor Security Printing","Art,Artists,Anniversaries and Jubilees","stamp from souvenir sheet",https://colnect.com/stamps/stamp/971216,,,,,
"100th Anniversary of the Appointment of Ephrem the Syrian","Vatican City",,"Mi:VA 2000, Sn:VA 1745, Yt:VA 1853, Sg:VA 1911, WAD:VA019.20",2020-09-10,,30.5,41,,Stamp,Commemorative,"comb<i> 13¾ x 13½</i>","Offset lithography",,,"€ - Euro",1.15,46350,33684,30579,32561,51000,,74.61,Low,Multicolor,,"Printex Ltd.","Religion,Saints,Theologians,Literary People (Poets and Writers)","100th Anniversary of the Appointment of Ephrem the Syrian (306–373) as Doctor of the Church",https://colnect.com/stamps/stamp/990789,,,,,
"Sailing Vessel at Sea","Vatican City","100th Anniversary of the Apostolate of the Sea","Mi:VA 2001, Sn:VA 1747a, Yt:VA 1854, WAD:VA017.20",2020-09-10,,40,30,,Stamp,Commemorative,"frame<i> 14 x 13¼</i>","Offset lithography",,,"€ - Euro",1.10,46349,33681,30578,,45000,,85.41,Low,Multicolor,,"Joh. Enschedé","Ships,Religion,Sailing Ships,Christian","stamp from souvenir sheet",https://colnect.com/stamps/stamp/990791,,,,,
"Madonna and Child","Vatican City","100th Anniversary of the Apostolate of the Sea","Mi:VA 2002, Sn:VA 1747b, Yt:VA 1855, WAD:VA018.20",2020-09-10,,30,40,,Stamp,Commemorative,"frame<i> 13¼ x 14</i>","Offset lithography",,,"€ - Euro",1.15,46348,33680,30577,,45000,,85.86,Low,Multicolor,,"Joh. Enschedé","Religion,Christian","stamp from souvenir sheet",https://colnect.com/stamps/stamp/990792,,,,,
